dataset,config,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,overlap_mean,runtime_mean
ACM,A0_no_overlap,0.9046,0.0483,0.9047,0.0475,1.0,0.7242
ACM,A10_hybrid_l075,0.87,0.0982,0.8516,0.1373,1.3546,0.8734
ACM,A1_original_wmc,0.8862,0.0584,0.8863,0.0588,1.2645,0.7721
ACM,A2_entropy_l025,0.864,0.1134,0.841,0.1636,1.2818,0.7918
ACM,A3_entropy_l050,0.8881,0.0817,0.8767,0.1182,1.3055,0.7904
ACM,A4_entropy_l075,0.9023,0.0298,0.9025,0.0311,1.3394,0.8065
ACM,A5_margin_l025,0.8469,0.1277,0.8189,0.1759,1.2818,1.1462
ACM,A6_margin_l050,0.9074,0.0481,0.9053,0.0572,1.314,0.9263
ACM,A7_margin_l075,0.8801,0.095,0.8802,0.0939,1.3453,0.9473
ACM,A8_hybrid_l025,0.8853,0.0899,0.8758,0.1203,1.284,0.983
ACM,A9_hybrid_l050,0.9104,0.0409,0.9094,0.0465,1.3233,0.9806
CiteSeer,A0_no_overlap,0.7113,0.0224,0.6568,0.0348,1.0,1.8346
CiteSeer,A10_hybrid_l075,0.7381,0.013,0.6832,0.025,1.2239,1.5868
CiteSeer,A1_original_wmc,0.7472,0.0122,0.6895,0.0298,1.1527,1.5679
CiteSeer,A2_entropy_l025,0.735,0.0222,0.6857,0.0345,1.1608,1.6438
CiteSeer,A3_entropy_l050,0.7403,0.0128,0.687,0.0233,1.1758,1.9734
CiteSeer,A4_entropy_l075,0.7392,0.0147,0.6805,0.0274,1.2098,1.6771
CiteSeer,A5_margin_l025,0.7221,0.0395,0.6628,0.0581,1.162,1.682
CiteSeer,A6_margin_l050,0.7453,0.0107,0.693,0.0225,1.183,1.7013
CiteSeer,A7_margin_l075,0.7383,0.0089,0.6832,0.0242,1.2215,1.5139
CiteSeer,A8_hybrid_l025,0.7413,0.0212,0.6872,0.0326,1.1626,1.7322
CiteSeer,A9_hybrid_l050,0.7418,0.0068,0.692,0.0237,1.187,1.5965
Cora,A0_no_overlap,0.7946,0.0509,0.7269,0.1083,1.0,1.5119
Cora,A10_hybrid_l075,0.8121,0.0699,0.7613,0.1308,1.4945,1.6337
Cora,A1_original_wmc,0.8277,0.0238,0.7841,0.0516,1.3715,1.4832
Cora,A2_entropy_l025,0.8229,0.0246,0.7787,0.0538,1.3911,1.5502
Cora,A3_entropy_l050,0.8217,0.0337,0.7589,0.0878,1.4136,1.5536
Cora,A4_entropy_l075,0.8306,0.0267,0.7852,0.0695,1.4513,1.5568
Cora,A5_margin_l025,0.8167,0.0318,0.7637,0.0748,1.3955,1.5423
Cora,A6_margin_l050,0.8204,0.0315,0.7606,0.0795,1.4361,1.5308
Cora,A7_margin_l075,0.8253,0.0201,0.784,0.0542,1.4838,1.5814
Cora,A8_hybrid_l025,0.8182,0.0362,0.7607,0.0848,1.397,1.6592
Cora,A9_hybrid_l050,0.8249,0.0359,0.7713,0.0876,1.4394,1.5815
DBLP,A0_no_overlap,0.8336,0.0151,0.8248,0.0162,1.0,1.0315
DBLP,A10_hybrid_l075,0.8532,0.0111,0.8407,0.0117,1.3821,0.9172
DBLP,A1_original_wmc,0.8397,0.0179,0.8288,0.0186,1.2439,1.0931
DBLP,A2_entropy_l025,0.8498,0.0111,0.839,0.0106,1.3022,1.1373
DBLP,A3_entropy_l050,0.8431,0.03,0.8298,0.0363,1.3196,1.143
DBLP,A4_entropy_l075,0.8529,0.0101,0.8414,0.0111,1.345,1.1766
DBLP,A5_margin_l025,0.8563,0.0096,0.846,0.0092,1.3014,0.9451
DBLP,A6_margin_l050,0.8513,0.0103,0.8394,0.0111,1.3284,0.999
DBLP,A7_margin_l075,0.8519,0.0078,0.8405,0.0102,1.3705,0.9406
DBLP,A8_hybrid_l025,0.8576,0.011,0.8477,0.013,1.3049,0.925
DBLP,A9_hybrid_l050,0.8626,0.0107,0.8533,0.0121,1.3342,0.9162
IMDB,A0_no_overlap,0.3945,0.0121,0.3113,0.0383,1.0,1.5789
IMDB,A10_hybrid_l075,0.4478,0.0104,0.3422,0.0252,2.8406,2.8415
IMDB,A1_original_wmc,0.4302,0.0127,0.3436,0.0215,2.2026,2.2142
IMDB,A2_entropy_l025,0.4333,0.013,0.3391,0.0243,2.3618,2.3897
IMDB,A3_entropy_l050,0.4395,0.0064,0.3354,0.0189,2.5434,2.4203
IMDB,A4_entropy_l075,0.4425,0.0111,0.3318,0.0336,2.7538,2.5727
IMDB,A5_margin_l025,0.4354,0.0135,0.3386,0.0371,2.3611,2.4659
IMDB,A6_margin_l050,0.4411,0.0133,0.3458,0.0278,2.5294,2.6671
IMDB,A7_margin_l075,0.4473,0.0071,0.3556,0.0257,2.7324,2.7373
IMDB,A8_hybrid_l025,0.4328,0.0093,0.3405,0.0267,2.3842,2.597
IMDB,A9_hybrid_l050,0.4357,0.0129,0.3349,0.0261,2.5924,2.7331
PubMed,A0_no_overlap,0.5394,0.1669,0.4183,0.2604,1.0,1.366
