metric,bin,n_nodes,mean_clusters_assigned,mean_entropy,mean_margin,dataset
entropy,entropy_P00-P00,788,1.0,0.000561882601055254,0.19552458551738236,ACM
entropy,entropy_P00-P22,787,1.0,0.08238439280743245,0.04627797733851245,ACM
entropy,entropy_P22-P99,788,1.7931472081218274,0.3938772470950872,0.5258081060228844,ACM
ambiguity,ambiguity_P00-P00,788,1.0,0.002380332565269788,0.0004630425906091036,ACM
ambiguity,ambiguity_P00-P27,787,1.0,0.14091907599118234,0.08005095756732925,ACM
ambiguity,ambiguity_P27-P100,788,1.7931472081218274,0.33359839653999557,0.6871395278328064,ACM
entropy,entropy_P00-P14,1727,1.005790387955993,0.014566798720143504,0.5285965944556937,DBLP
entropy,entropy_P14-P85,864,1.7199074074074074,0.3361332742172631,0.5089295837557055,DBLP
ambiguity,ambiguity_P00-P11,860,1.0,0.03645741866957862,0.016392366842182524,DBLP
ambiguity,ambiguity_P11-P100,832,1.7487980769230769,0.34161373829034314,0.5282500522904274,DBLP
ambiguity,ambiguity_P100-P100,899,1.010011123470523,4.594270282632655e-44,1.0,DBLP
entropy,entropy_P00-P26,1544,1.1696891191709844,0.10433593609733756,0.20101261998796588,IMDB
entropy,entropy_P26-P56,1542,2.0201037613488975,0.4154252270929407,0.5599022164793381,IMDB
entropy,entropy_P56-P135,1544,3.4177461139896375,0.7382558324790717,0.7400360489791751,IMDB
ambiguity,ambiguity_P00-P28,1544,1.0,0.15088339950592775,0.09132505593361195,IMDB
ambiguity,ambiguity_P28-P73,1542,2.3897535667963683,0.5140577322642813,0.5282891980761375,IMDB
ambiguity,ambiguity_P73-P100,1544,3.218264248704663,0.593203626211539,0.881295681931026,IMDB
entropy,entropy_P00-P00,903,1.0,3.9889360089984615e-06,0.24695516166975032,Cora
entropy,entropy_P00-P18,902,1.0764966740576496,0.07797315756658428,0.09940554731835165,Cora
entropy,entropy_P18-P81,903,2.0376522702104096,0.33614864639257197,0.5683722415893874,Cora
ambiguity,ambiguity_P00-P00,903,1.0,0.0013511320979569478,0.0004407493392004916,Cora
ambiguity,ambiguity_P00-P40,902,1.0842572062084257,0.15130717078369124,0.14450173629308008,Cora
ambiguity,ambiguity_P40-P100,903,2.0299003322259135,0.2615487015453189,0.7698404053538185,Cora
entropy,entropy_P00-P03,2217,1.0,0.0018228546926930345,0.5450189125830646,CiteSeer
entropy,entropy_P03-P73,1110,1.4576576576576576,0.2083722264866647,0.31113347171602196,CiteSeer
ambiguity,ambiguity_P00-P02,1109,1.0,0.007851903535115088,0.002521601208190212,CiteSeer
ambiguity,ambiguity_P02-P100,1011,1.5024727992087044,0.2241609092319047,0.3401272275584131,CiteSeer
ambiguity,ambiguity_P100-P100,1207,1.0,0.0,1.0,CiteSeer
entropy,entropy_P00-P00,6571,1.0001521838380765,0.002320744637412085,0.0006716247388321494,PubMed
entropy,entropy_P00-P19,6574,1.0,0.08245525243921298,0.04976096627863183,PubMed
entropy,entropy_P19-P112,6572,1.7991479001825927,0.34364598235162674,0.5103938520267143,PubMed
ambiguity,ambiguity_P00-P00,6571,1.0,0.0023917146191317533,0.0005055708689385709,PubMed
ambiguity,ambiguity_P00-P14,6574,1.0,0.08682925489965942,0.045053417655880584,PubMed
ambiguity,ambiguity_P14-P100,6572,1.7993000608642726,0.33919968960590924,0.5152688618601041,PubMed
