success,accuracy,runtime,avg_overlap,num_clusters,num_nodes,dataset,method,overlap,mc,clusters,epochs,seed
True,0.8254545454545454,7.131630897521973,1.0,14,2708,Cora,Cluster-GCN,False,1.0,14,20,42
True,0.8766233766233766,6.68891978263855,1.6864844903988183,14,2708,Cora,OCGCN_MC0.1,True,0.1,14,20,42
True,0.8809523809523809,7.199913501739502,1.3714918759231904,14,2708,Cora,OCGCN_MC0.3,True,0.3,14,20,42
True,0.8516320474777448,6.819925546646118,1.223042836041359,14,2708,Cora,OCGCN_MC0.5,True,0.5,14,20,42
True,0.8071895424836601,6.655853509902954,1.10192023633678,14,2708,Cora,OCGCN_MC0.7,True,0.7,14,20,42
True,0.8254545454545454,6.315546035766602,1.0,14,2708,Cora,OCGCN_MC1.0,True,1.0,14,20,42
True,0.7507418397626113,6.161098480224609,1.0,12,3327,CiteSeer,Cluster-GCN,False,1.0,12,20,42
True,0.7660550458715596,6.226819038391113,1.2933573790201383,12,3327,CiteSeer,OCGCN_MC0.1,True,0.1,12,20,42
True,0.7352185089974294,6.347149610519409,1.1526901112113015,12,3327,CiteSeer,OCGCN_MC0.3,True,0.3,12,20,42
True,0.7624309392265194,6.563628911972046,1.0724376314998496,12,3327,CiteSeer,OCGCN_MC0.5,True,0.5,12,20,42
True,0.7393767705382436,5.857479572296143,1.042380522993688,12,3327,CiteSeer,OCGCN_MC0.7,True,0.7,12,20,42
True,0.7329376854599406,6.545830726623535,1.0,12,3327,CiteSeer,OCGCN_MC1.0,True,1.0,12,20,42
True,0.8105369807497467,37.078614711761475,1.0,6,19717,PubMed,Cluster-GCN,False,1.0,6,20,42
True,0.8112367249057897,37.6814603805542,1.479484708627073,6,19717,PubMed,OCGCN_MC0.1,True,0.1,6,20,42
True,0.7976,37.592623472213745,1.2664198407465639,6,19717,PubMed,OCGCN_MC0.3,True,0.3,6,20,42
True,0.7823788546255507,38.25954532623291,1.1505299994928235,6,19717,PubMed,OCGCN_MC0.5,True,0.5,6,20,42
True,0.7449506810709253,38.35570931434631,1.077902317796825,6,19717,PubMed,OCGCN_MC0.7,True,0.7,6,20,42
True,0.8105369807497467,37.64552879333496,1.0,6,19717,PubMed,OCGCN_MC1.0,True,1.0,6,20,42
