variable_1,variable_2,pearson_r,pearson_p,spearman_r,spearman_p
entropy,is_overlap,0.7837569157308572,0.0,0.6955452240584222,0.0
entropy,n_clusters_assigned,0.797116145259185,0.0,0.6980873111380816,0.0
ambiguity,is_overlap,0.6448596472969906,6.208001150502861e-278,0.6128706220677111,9.18502362877203e-244
ambiguity,n_clusters_assigned,0.6254868120757207,9.177727853430493e-257,0.6121737583666224,4.613773145580957e-243
entropy,ambiguity,0.5557166813951677,1.2784568741441264e-191,0.6244451876362903,1.1448746853462097e-255
margin,ambiguity,-0.9999999999999993,0.0,-0.9999999840663907,0.0
entropy,is_overlap,0.783814319311931,0.0,0.6765427779406042,0.0
entropy,n_clusters_assigned,0.8144021001515896,0.0,0.6800650121102146,0.0
ambiguity,is_overlap,0.2025374628223327,2.170803137892062e-25,0.09867829986308319,4.83436052723081e-07
ambiguity,n_clusters_assigned,0.20128918373698354,4.312182974900366e-25,0.0998541324891414,3.5236349686895966e-07
entropy,ambiguity,0.010462779591083857,0.5944956669754815,-0.39814007552037173,3.686388044583831e-99
margin,ambiguity,-1.0,0.0,-0.9993523966319647,0.0
entropy,is_overlap,0.6863930881366108,0.0,0.7006935721859374,0.0
entropy,n_clusters_assigned,0.8082285321839031,0.0,0.8080828483994071,0.0
ambiguity,is_overlap,0.8343754037034068,0.0,0.790238652774986,0.0
ambiguity,n_clusters_assigned,0.7482422391103062,0.0,0.7920777062136,0.0
entropy,ambiguity,0.6894962960362641,0.0,0.6755291725642575,0.0
margin,ambiguity,-0.9999999999999996,0.0,-1.0,0.0
entropy,is_overlap,0.7429820377399591,0.0,0.7056124423068243,0.0
entropy,n_clusters_assigned,0.8023806699332182,0.0,0.7156596404968718,0.0
ambiguity,is_overlap,0.6178269084927667,7.544011490189345e-285,0.6004964405190214,4.178414742482863e-265
ambiguity,n_clusters_assigned,0.5834110310929789,8.595847410946538e-247,0.6019283061486209,1.085488256748285e-266
entropy,ambiguity,0.5056992939649003,8.538101474354474e-176,0.5280842048033926,2.252085189491612e-194
margin,ambiguity,-0.9999999999999997,0.0,-0.9999999998483932,0.0
entropy,is_overlap,0.8023895497257122,0.0,0.6014089926571026,0.0
entropy,n_clusters_assigned,0.8180328068430994,0.0,0.6020259260452512,0.0
ambiguity,is_overlap,0.12615462000524605,2.8125969394607773e-13,0.09723764630836682,1.9107237665872224e-08
ambiguity,n_clusters_assigned,0.13278761071088602,1.466657382136667e-14,0.09773715683691644,1.6147385319465394e-08
entropy,ambiguity,-0.0362397446051019,0.0365984851081974,-0.36624657869868804,3.8550859231143034e-106
margin,ambiguity,-0.9999999999999993,0.0,-0.9999999999999999,0.0
entropy,is_overlap,0.7764095581350186,0.0,0.693039026835463,0.0
entropy,n_clusters_assigned,0.8149360733495451,0.0,0.6970032311381621,0.0
ambiguity,is_overlap,0.9075402882320194,0.0,0.7285117474429408,0.0
ambiguity,n_clusters_assigned,0.8808461455257199,0.0,0.7284633704692417,0.0
entropy,ambiguity,0.8636347167386447,0.0,0.9806490795057192,0.0
margin,ambiguity,-0.9999999999999969,0.0,-0.9999999895269954,0.0
