dataset,adaptive,adapt_overlap,adapt_f1,fixed_wmc,fixed_overlap,fixed_f1,f1_diff
Cora,entropy_l050,1.413589364844904,0.8339100346020762,0.3,1.4070654849827666,0.8311518988545413,0.0027581357475349177
Cora,margin_l050,1.4361152141802067,0.8353492333901194,0.2,1.4841211225997046,0.8279108175061932,0.0074384158839261305
CiteSeer,entropy_l050,1.175834084761046,0.7295762711864408,0.3,1.1705239955916242,0.7317164567619081,-0.002140185575467357
CiteSeer,margin_l050,1.1830477908025245,0.7311710193765796,0.3,1.1705239955916242,0.7317164567619081,-0.0005454373853285288
PubMed,entropy_l050,1.3069432469442612,0.6417636410654255,0.3,1.2958360805396356,0.6184314508219405,0.023332190243484985
PubMed,margin_l050,1.3141451539280824,0.6393647119341563,0.2,1.34756808845159,0.6201780787559568,0.019186633178199575
ACM,entropy_l050,1.3055438002539146,0.9139935414424112,0.3,1.2946819015375937,0.9130198316988667,0.000973709743544493
ACM,margin_l050,1.3140076174354633,0.9097326203208554,0.2,1.3491324587388913,0.905422314911366,0.004310305409489401
DBLP,entropy_l050,1.319567734465457,0.8643343051506317,0.2,1.3489000385951369,0.8425451092117759,0.021789195938855754
DBLP,margin_l050,1.328444615978387,0.854054054054054,0.2,1.3489000385951369,0.8425451092117759,0.011508944842278046
IMDB,entropy_l050,2.54341252699784,0.4331071529544812,0.2,2.5585313174946007,0.44504074178139924,-0.011933588826918029
IMDB,margin_l050,2.5293736501079915,0.4256111426947129,0.2,2.5585313174946007,0.44504074178139924,-0.019429599086686344
