dataset,label,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,overlap_mean,runtime_mean
ACM,WMC_0.10,0.89,0.0684,0.884,0.0857,1.4757,0.8487
ACM,WMC_0.20,0.8812,0.1191,0.8751,0.1432,1.3491,0.8452
ACM,WMC_0.30,0.8792,0.071,0.8777,0.0748,1.2645,0.8904
ACM,WMC_0.40,0.8849,0.0773,0.8795,0.0938,1.2052,0.8417
ACM,WMC_0.50,0.8663,0.0992,0.8493,0.1355,1.1494,0.8487
ACM,entropy_l050,0.8812,0.0797,0.8717,0.1074,1.3055,0.9435
ACM,hybrid_l050,0.8955,0.0718,0.8907,0.0909,1.3233,0.8812
ACM,margin_l050,0.8993,0.0691,0.8944,0.0882,1.314,0.8379
ACM,no_overlap,0.9105,0.0351,0.9106,0.0345,1.0,0.7982
CiteSeer,WMC_0.10,0.7318,0.0512,0.6703,0.0779,1.2934,1.7197
CiteSeer,WMC_0.20,0.7324,0.0246,0.6655,0.0411,1.2257,1.6261
CiteSeer,WMC_0.30,0.7359,0.0302,0.6725,0.0471,1.1527,1.6733
CiteSeer,WMC_0.40,0.7183,0.0596,0.6562,0.0864,1.1019,1.7379
CiteSeer,WMC_0.50,0.7277,0.0378,0.6754,0.0506,1.0724,1.7371
CiteSeer,entropy_l050,0.7272,0.0445,0.66,0.0711,1.1758,1.7368
CiteSeer,hybrid_l050,0.7289,0.0503,0.6683,0.0746,1.187,1.8979
CiteSeer,margin_l050,0.736,0.0213,0.6741,0.0393,1.183,2.052
CiteSeer,no_overlap,0.7046,0.0532,0.6426,0.0766,1.0,1.711
Cora,WMC_0.10,0.8313,0.026,0.7902,0.0599,1.6865,1.7338
Cora,WMC_0.20,0.8249,0.0438,0.7821,0.0792,1.4841,1.6584
Cora,WMC_0.30,0.8321,0.0197,0.7955,0.043,1.3715,1.6448
Cora,WMC_0.40,0.826,0.0235,0.7851,0.0486,1.2862,1.665
Cora,WMC_0.50,0.8228,0.0263,0.7714,0.0691,1.223,1.6494
Cora,entropy_l050,0.8283,0.0287,0.7785,0.0743,1.4136,1.701
Cora,hybrid_l050,0.8295,0.0301,0.7852,0.0725,1.4394,1.7352
Cora,margin_l050,0.8298,0.0254,0.7836,0.0645,1.4361,1.7004
Cora,no_overlap,0.7982,0.0507,0.7353,0.1035,1.0,1.6067
DBLP,WMC_0.10,0.8556,0.0072,0.8442,0.0095,1.4817,1.0423
DBLP,WMC_0.20,0.8434,0.0126,0.8308,0.0155,1.3489,1.0905
DBLP,WMC_0.30,0.8442,0.0171,0.8341,0.0191,1.2439,1.001
DBLP,WMC_0.40,0.8436,0.0108,0.8332,0.0121,1.2042,1.0292
DBLP,WMC_0.50,0.8439,0.014,0.8331,0.0154,1.171,1.0689
DBLP,entropy_l050,0.8459,0.0239,0.8333,0.0281,1.3196,1.0661
DBLP,hybrid_l050,0.8563,0.0119,0.8462,0.0128,1.3342,1.038
DBLP,margin_l050,0.8505,0.0128,0.8395,0.0145,1.3284,0.9987
DBLP,no_overlap,0.8287,0.0142,0.8205,0.0153,1.0,0.9642
IMDB,WMC_0.10,0.4488,0.0126,0.351,0.0305,3.1263,2.7948
IMDB,WMC_0.20,0.4398,0.009,0.3336,0.0227,2.5585,2.3646
IMDB,WMC_0.30,0.4285,0.0151,0.3317,0.0264,2.2026,2.3015
IMDB,WMC_0.40,0.4264,0.0066,0.3269,0.0204,1.9248,2.0722
IMDB,WMC_0.50,0.4221,0.0126,0.3284,0.0265,1.6933,1.9637
IMDB,entropy_l050,0.4352,0.0102,0.3298,0.0202,2.5434,2.4759
IMDB,hybrid_l050,0.4376,0.0115,0.3303,0.0245,2.5924,2.4512
IMDB,margin_l050,0.4428,0.0121,0.3422,0.0279,2.5294,2.4818
IMDB,no_overlap,0.3931,0.0122,0.3015,0.0307,1.0,1.5809
PubMed,WMC_0.10,0.6419,0.1549,0.5674,0.23,1.4795,2.2108
PubMed,WMC_0.20,0.6608,0.1208,0.6067,0.1645,1.3476,2.1381
PubMed,WMC_0.30,0.6124,0.122,0.5388,0.1761,1.2664,2.086
PubMed,WMC_0.40,0.5925,0.1175,0.5049,0.1753,1.2148,1.952
PubMed,WMC_0.50,0.5844,0.1525,0.485,0.2361,1.1505,2.0262
PubMed,entropy_l050,0.5795,0.1364,0.4861,0.2054,1.3069,2.3724
PubMed,hybrid_l050,0.6218,0.1327,0.5471,0.1938,1.3178,2.5967
PubMed,margin_l050,0.6285,0.1268,0.5566,0.1856,1.3141,2.1533
PubMed,no_overlap,0.5212,0.1428,0.4001,0.2184,1.0,1.4663
