dataset,method,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,overlap_mean,runtime_mean
ACM,entropy_adaptive_wmc,0.8881,0.0817,0.8767,0.1182,1.3055,0.9589
ACM,hybrid_adaptive_wmc,0.9104,0.0409,0.9094,0.0465,1.3233,1.0584
ACM,margin_adaptive_wmc,0.9074,0.0481,0.9053,0.0572,1.314,0.9248
ACM,no_overlap,0.9046,0.0483,0.9047,0.0475,1.0,0.8395
ACM,original_wmc,0.8862,0.0584,0.8863,0.0588,1.2645,0.929
CiteSeer,entropy_adaptive_wmc,0.7403,0.0126,0.687,0.0232,1.1758,1.9278
CiteSeer,hybrid_adaptive_wmc,0.7418,0.0068,0.692,0.0237,1.187,1.8235
CiteSeer,margin_adaptive_wmc,0.7453,0.0107,0.693,0.0225,1.183,1.802
CiteSeer,no_overlap,0.7113,0.0224,0.6568,0.0348,1.0,1.646
CiteSeer,original_wmc,0.7472,0.0122,0.6895,0.0298,1.1527,1.7181
Cora,entropy_adaptive_wmc,0.8217,0.0337,0.7589,0.0878,1.4136,1.7717
Cora,hybrid_adaptive_wmc,0.8249,0.0359,0.7713,0.0876,1.4394,1.7721
Cora,margin_adaptive_wmc,0.8203,0.0315,0.7605,0.0794,1.4361,1.7535
Cora,no_overlap,0.7946,0.0509,0.7269,0.1083,1.0,1.7525
Cora,original_wmc,0.8277,0.0238,0.7841,0.0516,1.3715,1.7542
DBLP,entropy_adaptive_wmc,0.8431,0.03,0.8298,0.0363,1.3196,1.0528
DBLP,hybrid_adaptive_wmc,0.8626,0.0107,0.8533,0.0121,1.3342,1.0699
DBLP,margin_adaptive_wmc,0.8513,0.0103,0.8394,0.0111,1.3284,1.0055
DBLP,no_overlap,0.8336,0.0151,0.8248,0.0162,1.0,1.1975
DBLP,original_wmc,0.8397,0.0179,0.8288,0.0186,1.2439,1.064
IMDB,entropy_adaptive_wmc,0.4397,0.0063,0.3357,0.0186,2.5434,2.7575
IMDB,hybrid_adaptive_wmc,0.4358,0.013,0.3352,0.0263,2.5924,2.8061
IMDB,margin_adaptive_wmc,0.4412,0.0134,0.346,0.0279,2.5294,2.6699
IMDB,no_overlap,0.3945,0.0121,0.3113,0.0383,1.0,1.736
IMDB,original_wmc,0.4303,0.0128,0.3436,0.0215,2.2026,2.4832
PubMed,entropy_adaptive_wmc,0.601,0.1383,0.5227,0.1963,1.3069,2.4135
PubMed,hybrid_adaptive_wmc,0.6021,0.1339,0.5285,0.196,1.3178,2.527
PubMed,margin_adaptive_wmc,0.6123,0.1454,0.5303,0.217,1.3141,2.2311
PubMed,no_overlap,0.5394,0.1669,0.4183,0.2604,1.0,1.6071
PubMed,original_wmc,0.5941,0.1185,0.5218,0.1707,1.2664,2.0598
