dataset,label,f1_gain,overlap_gain,efficiency
Cora,WMC_0.10,0.03339173743173374,0.6864844903988181,0.04864164871712479
CiteSeer,WMC_0.10,0.027005347593582862,0.2933573790201378,0.0920561387744368
PubMed,WMC_0.10,0.12061691338424707,0.47948470862707304,0.25155528677778716
ACM,WMC_0.10,-0.020533707865168505,0.4756665256030468,-0.04316828441760961
DBLP,WMC_0.10,0.026892073443797626,0.48166730991895035,0.05583121978596124
IMDB,WMC_0.10,0.055690429818681275,2.1263498920086397,0.026190623672980626
Cora,WMC_0.20,0.02697501912985878,0.4841211225997042,0.05571956659317897
CiteSeer,WMC_0.20,0.027633914218257227,0.2257288848812744,0.12242081571789853
PubMed,WMC_0.20,0.13954885949460782,0.3475680884515895,0.4015007825266579
ACM,WMC_0.20,-0.029355397124813942,0.34913245873889176,-0.08408097382537605
DBLP,WMC_0.20,0.0147116612633853,0.34890003859513685,0.04216583443963643
IMDB,WMC_0.20,0.04661691841122173,1.5585313174945998,0.029910799922943
Cora,WMC_0.30,0.034221096751659075,0.37149187592319044,0.09211802187225925
CiteSeer,WMC_0.30,0.031139424015648065,0.15269011121130172,0.20393870807098613
PubMed,WMC_0.30,0.09118121127520462,0.2664198407465641,0.3422463245218367
ACM,WMC_0.30,-0.03131148564294617,0.26449428692340216,-0.118382464918851
DBLP,WMC_0.30,0.015439625548050784,0.24392126592049435,0.06329757878955622
IMDB,WMC_0.30,0.03508509052223058,1.2025917926565883,0.029174563419168006
Cora,WMC_0.40,0.028125858656421032,0.2861890694239293,0.09827719386011367
CiteSeer,WMC_0.40,0.013573429801012837,0.10189359783588836,0.1332118022064001
PubMed,WMC_0.40,0.07124674652438046,0.2148399857990566,0.33162703050547915
ACM,WMC_0.40,-0.025662212538065776,0.20524756665256016,-0.12503053242773088
DBLP,WMC_0.40,0.014814474425900115,0.20416827479737543,0.07256011954160155
IMDB,WMC_0.40,0.03324961453278363,0.9248380129589635,0.03595182514871279
Cora,WMC_0.50,0.024878239608801755,0.22304283604135877,0.1115401868553563
CiteSeer,WMC_0.50,0.023098779868572672,0.07243763149984939,0.3188781768578491
PubMed,WMC_0.50,0.06314233533825697,0.15052999949282375,0.41946678769016515
ACM,WMC_0.50,-0.04419343858732272,0.14938637325433768,-0.2958331313933247
DBLP,WMC_0.50,0.015130742405358166,0.17097645696642205,0.08849605772524391
IMDB,WMC_0.50,0.029002857271500315,0.693304535637149,0.04183278167197709
Cora,entropy_l050,0.030365436840635973,0.41358936484490383,0.07341928836110916
CiteSeer,entropy_l050,0.02255234297108666,0.175834084761046,0.12825922233300052
PubMed,entropy_l050,0.05827673926211441,0.3069432469442612,0.1898616107123447
ACM,entropy_l050,-0.02937116749918356,0.3055438002539146,-0.0961275191143639
DBLP,entropy_l050,0.01713414429811322,0.3195677344654575,0.053616627870061995
IMDB,entropy_l050,0.04219906875015467,1.54341252699784,0.027341406145146394
Cora,margin_l050,0.03184825664457713,0.4361152141802065,0.07302716256859859
CiteSeer,margin_l050,0.03085814166598766,0.18304779080252498,0.1685797000373413
PubMed,margin_l050,0.10722991958341499,0.3141451539280822,0.34133876726286644
ACM,margin_l050,-0.011175419095114991,0.31400761743546357,-0.03558964329077724
DBLP,margin_l050,0.021795255846980055,0.3284446159783869,0.06635899870684522
IMDB,margin_l050,0.04949609428208107,1.5293736501079915,0.03236363741364713
Cora,hybrid_l050,0.03154252532308777,0.4394387001477107,0.07177912485287533
CiteSeer,hybrid_l050,0.02412975359635372,0.186955214908326,0.12906702606924236
PubMed,hybrid_l050,0.10059300132029692,0.31779682507480844,0.3165324301041007
ACM,hybrid_l050,-0.015054984460913134,0.3233178163351669,-0.04656404225279812
DBLP,hybrid_l050,0.027604425452979697,0.33423388653029695,0.08259014589915756
IMDB,hybrid_l050,0.04440745577075034,1.5924406047516202,0.02788641261610932
