dataset,method,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,runtime_mean
ACM,GAT,0.9227,0.0101,0.9226,0.01,3.2004
ACM,GCN,0.9211,0.0097,0.9212,0.0098,1.7467
ACM,GraphSAGE,0.9228,0.0074,0.9228,0.0075,1.371
ACM,RandomPartition,0.8761,0.0123,0.8761,0.0118,0.6715
CiteSeer,GAT,0.7267,0.0105,0.6926,0.01,3.5364
CiteSeer,GCN,0.7272,0.0128,0.694,0.0122,2.0764
CiteSeer,GraphSAGE,0.7234,0.0132,0.6892,0.015,1.5933
CiteSeer,RandomPartition,0.6971,0.0166,0.6654,0.0152,1.4949
Cora,GAT,0.8651,0.0106,0.8549,0.0105,4.1136
Cora,GCN,0.8661,0.0105,0.8558,0.0116,2.7666
Cora,GraphSAGE,0.8612,0.0114,0.8511,0.0114,1.8957
Cora,RandomPartition,0.73,0.0156,0.701,0.016,2.4298
DBLP,GAT,0.8447,0.0126,0.8385,0.0128,3.2361
DBLP,GCN,0.8478,0.0151,0.8418,0.0152,1.7715
DBLP,GraphSAGE,0.8531,0.0153,0.8475,0.0158,1.3247
DBLP,RandomPartition,0.8075,0.0141,0.7999,0.0146,0.8481
IMDB,GAT,0.3998,0.0147,0.349,0.0159,3.2014
IMDB,GCN,0.4172,0.0115,0.3642,0.0129,1.7255
IMDB,GraphSAGE,0.449,0.016,0.4029,0.0193,3.5521
IMDB,RandomPartition,0.3741,0.0145,0.3237,0.0145,1.3321
PubMed,GAT,0.8547,0.0041,0.8471,0.0048,3.1847
PubMed,GCN,0.8649,0.0041,0.8585,0.0044,1.7712
PubMed,GraphSAGE,0.883,0.0036,0.8799,0.0041,1.2449
PubMed,RandomPartition,0.8523,0.0039,0.8497,0.0039,1.1394
