metric,tercile,range_low,range_high,n_nodes,overlap_ratio,mean_clusters,mean_boundary,mean_entropy,mean_ambiguity
entropy,T1,0.0,0.004815521643635542,788,0.0,1.0,0.06831641285956006,0.0005618826010552532,0.19552458551738236
entropy,T2,0.004815521643635542,0.22833360148424273,787,0.0,1.0,0.25222363405336723,0.08238439280743245,0.04627797733851245
entropy,T3,0.22833360148424273,0.9921636894323043,788,0.7182741116751269,1.7931472081218274,0.18109137055837563,0.39387724709508726,0.5258081060228844
ambiguity,T1,0.0,0.0033748666558465943,788,0.0,1.0,0.09390862944162437,0.0023803325652697865,0.00046304259060910485
ambiguity,T2,0.0033748666558465943,0.2704149033715216,787,0.0,1.0,0.3009953409572215,0.1409190759911824,0.0800509575673293
ambiguity,T3,0.2704149033715216,1.0,788,0.7182741116751269,1.7931472081218274,0.10678934010152286,0.33359839653999557,0.6871395278328064
entropy,T2,0.0,0.14677620079289058,1727,0.005790387955993051,1.005790387955993,0.06776132572310915,0.014566798720143504,0.5285965944556937
entropy,T3,0.14677620079289058,0.8556144402994136,864,0.6203703703703703,1.7199074074074074,0.1974729938271605,0.3361332742172631,0.5089295837557055
ambiguity,T1,0.0,0.11031437947693123,860,0.0,1.0,0.1397951273532669,0.03645741866957862,0.016392366842182524
ambiguity,T2,0.11031437947693123,1.0,832,0.6454326923076923,1.7487980769230769,0.19441105769230768,0.34161373829034314,0.5282500522904274
ambiguity,T3,1.0,1.0,899,0.010011123470522803,1.010011123470523,0.006303299962921764,4.594270282632655e-44,1.0
entropy,T1,0.0,0.26275559351654226,1544,0.16968911917098445,1.1696891191709844,0.7244420285385312,0.10433593609733757,0.20101261998796588
entropy,T2,0.26275559351654226,0.5610460587377689,1542,0.7392996108949417,2.0201037613488975,0.6885311798735924,0.41542522709294083,0.5599022164793381
entropy,T3,0.5610460587377689,1.3580421358672217,1544,0.9533678756476683,3.4177461139896375,0.5740063944403323,0.7382558324790717,0.7400360489791751
ambiguity,T1,0.0,0.28816430833205947,1544,0.0,1.0,0.7927838946459413,0.15088339950592777,0.09132505593361198
ambiguity,T2,0.28816430833205947,0.7302080581518242,1542,0.8962386511024644,2.3897535667963683,0.6514895106334795,0.5140577322642813,0.5282891980761374
ambiguity,T3,0.7302080581518242,1.0,1544,0.966321243523316,3.218264248704663,0.5426582161361954,0.593203626211539,0.881295681931026
entropy,T1,0.0,0.00012382658845859617,903,0.0,1.0,0.10543294837314769,3.9889360089979465e-06,0.24695516166975032
entropy,T2,0.00012382658845859617,0.1864890188039043,902,0.07649667405764966,1.0764966740576496,0.3112852871444889,0.07797315756658432,0.09940554731835166
entropy,T3,0.1864890188039043,0.8149844121851882,903,0.760797342192691,2.0376522702104096,0.29015099579883635,0.33614864639257197,0.5683722415893874
ambiguity,T1,0.0,0.005582380832576932,903,0.0,1.0,0.14714659648214465,0.0013511320979569493,0.00044074933920049505
ambiguity,T2,0.005582380832576932,0.40015769727619593,902,0.08425720620842572,1.0842572062084257,0.4235218033998522,0.15130717078369127,0.14450173629308014
ambiguity,T3,0.40015769727619593,1.0,903,0.7530454042081949,2.0299003322259135,0.13632512436499147,0.2615487015453189,0.7698404053538185
entropy,T2,0.0,0.03147021701982922,2218,0.0,1.0,0.02798316801923655,0.001836221402488862,0.544776544325665
entropy,T3,0.03147021701982922,0.732583078319236,1109,0.41118124436429215,1.4580703336339045,0.163570784490532,0.20853174137346972,0.31140731062859633
ambiguity,T1,0.0,0.02518416585238537,1109,0.0,1.0,0.0683648932972648,0.007851903535115093,0.002521601208190213
ambiguity,T2,0.02518416585238537,1.0,1011,0.45103857566765576,1.5024727992087044,0.1658259149357072,0.22416090923190463,0.3401272275584127
ambiguity,T3,1.0,1.0,1207,0.0,1.0,0.0,0.0,1.0
entropy,T1,0.0,0.009364560432556448,6570,0.00015220700152207003,1.000152207001522,0.05966260781329274,0.002319672519330634,0.0006713594837060023
entropy,T2,0.009364560432556448,0.19506291807801593,6575,0.0,1.0,0.17648162230671738,0.08244413598415494,0.04975376527249328
entropy,T3,0.19506291807801593,1.1258196184087654,6572,0.6888314059646987,1.7991479001825927,0.19567863664029214,0.34364598235162663,0.5103938520267143
ambiguity,T1,0.0,0.0023533705297623664,6571,0.0,1.0,0.05891797291127682,0.0023917146191317555,0.0005055708689385708
ambiguity,T2,0.0023533705297623664,0.14732550499744698,6574,0.0,1.0,0.17924145624176047,0.08682925489965942,0.04505341765588059
ambiguity,T3,0.14732550499744698,1.0,6572,0.6889835666463786,1.7993000608642726,0.1936802596875634,0.33919968960590924,0.5152688618601041
